 Serial No,Playerss,Year,Matches,Runss,Average,Higest_score,Strike Rate,NO,Fifty,Four,Six
123,Anmolpreet Singh,2022,2,13,6.5,8,100,0,0,1,0
124,Murugan Ashwin,2022,8,12,4,6,85.71,2,0,1,1
125,Varun Chakaravarthy,2022,11,12,-,10*,66.66,4,0,2,0
126,Chris Jordan,2022,4,11,11,6*,137.5,1,0,0,0
127,Rajangad Bawa,2022,2,11,5.5,11,78.57,0,0,1,0
128,Shreyas Gopal,2022,1,9,-,9*,128.57,1,0,2,0
129,Marco Jansen,2022,8,9,9,8*,128.57,2,0,0,1
130,Obed McCoy,2022,7,8,8,8,160,0,0,0,1
131,Srikar Bharat,2022,2,8,4,8,114.28,0,0,2,0
132,Fabian Allen,2022,1,8,8,8,114.28,0,0,1,0
133,Sean Abbott,2022,1,7,7,7,140,0,0,0,1
134,Rasikh Salam,2022,2,7,7,7,116.66,0,0,1,0
135,Kartik Tyagi,2022,2,7,3.5,7,116.66,0,0,1,0
136,Maheesh Theekshana,2022,9,7,7,7*,100,1,0,0,1
137,Simarjeet Singh,2022,6,7,7,3*,87.5,2,0,0,0
138,Ripal Patel,2022,2,6,6,6,200,0,0,0,1
139,Mukesh Choudhary,2022,13,6,6,4,100,1,0,1,0
140,Prasidh Krishna,2022,17,6,6,4*,50,2,0,0,0
141,Aman Khan,2022,1,5,5,5,166.66,0,0,1,0
142,Lockie Ferguson,2022,13,5,2.5,5,125,1,0,1,0
143,Alzarri Joseph,2022,9,5,5,4*,71.42,2,0,0,0
144,Yuzvendra Chahal,2022,17,5,5,5,62.5,1,0,0,0
145,Vaibhav Arora,2022,5,5,2.5,2*,38.46,2,0,0,0
146,Prerak Mankad,2022,1,4,-,4*,400,1,0,1,0
147,Karan Sharma,2022,1,4,4,4,100,0,0,1,0
148,Abdul Samad,2022,2,4,2,4,57.14,0,0,0,0
149,Abhijeet Tomar,2022,1,4,4,4,50,0,0,1,0
150,Umran Malik,2022,14,4,4,3*,50,3,0,0,0
151,Mustafizur Rahman,2022,8,3,-,3*,60,1,0,0,0
152,Kumar Kartikeya Singh,2022,4,3,3,3,60,0,0,0,0
153,Shivam Mavi,2022,6,3,1.5,2,42.85,1,0,0,0
154,Harshit Rana,2022,2,2,2,2,100,1,0,0,0
155,Navdeep Saini,2022,2,2,2,2,100,0,0,0,0
156,Tristan Stubbs,2022,2,2,1,2,50,0,0,0,0
157,Pradeep Sangwan,2022,3,2,2,2,40,0,0,0,0
158,Fazalhaq Farooqi,2022,3,2,-,2*,25,1,0,0,0
159,Jagadeesha Suchith,2022,5,2,1,2,25,0,0,0,0
160,Tim Southee,2022,9,2,0.5,1*,16.66,1,0,0,0
161,Nathan Coulter-Nile,2022,1,1,-,1*,50,1,0,0,0
162,Anrich Nortje,2022,6,1,-,1*,16.66,1,0,0,0
163,Ruturaj Gaikwad,2021,16,635,45.35,101*,136.26,2,4,64,23
164,Faf du Plessis,2021,16,633,45.21,95*,138.2,2,6,60,23
165,KL Rahul,2021,13,626,62.6,98*,138.8,3,6,48,30
166,Shikhar Dhawan,2021,16,587,39.13,92,124.62,1,3,63,16
167,Glenn Maxwell,2021,15,513,42.75,78,144.1,2,6,48,21
168,Sanju Samson,2021,14,484,40.33,119,136.72,2,2,45,17
169,Prithvi Shaw,2021,15,479,31.93,82,159.13,0,4,56,18
170,Shubman Gill,2021,17,478,28.11,57,118.9,0,3,50,12
171,Mayank Agarwal,2021,12,441,40.09,99*,140.44,1,4,42,18
172,Rishabh Pant,2021,16,419,34.91,58*,128.52,4,3,42,10
173,Devdutt Padikkal,2021,14,411,31.61,101*,125.3,1,1,44,14
174,Virat Kohli,2021,15,405,28.92,72*,119.46,1,3,43,9
175,Rahul Tripathi,2021,17,397,28.35,74*,140.28,2,2,41,11
176,Nitish Rana,2021,17,383,29.46,80,121.97,3,2,34,17
177,Rohit Sharma,2021,13,381,29.3,63,127.42,0,1,33,14
178,Venkatesh Iyer,2021,10,370,41.11,67,128.47,1,4,37,14
179,Moeen Ali,2021,15,357,25.5,58,137.3,1,1,31,19
180,Suryakumar Yadav,2021,14,317,22.64,82,143.43,0,2,40,10
181,AB de Villiers,2021,15,313,31.3,76*,148.34,4,2,23,16
182,Quinton de Kock,2021,11,297,29.7,70*,116.01,1,2,29,7
183,Manish Pandey,2021,8,292,48.66,69*,123.72,2,3,21,10
184,Kane Williamson,2021,10,266,44.33,66*,113.19,4,2,29,2
185,Ambati Rayudu,2021,16,257,28.55,72*,151.17,4,2,16,17
186,Jos Buttler,2021,7,254,36.28,124,153.01,0,0,27,13
187,Yashasvi Jaiswal,2021,10,249,24.9,50,148.21,0,1,32,10
188,Jonny Bairstow,2021,7,248,41.33,63*,141.71,1,2,20,15
189,Kieron Pollard,2021,14,245,30.62,87*,148.48,5,1,16,16
190,Shimron Hetmyer,2021,14,242,34.57,53*,168.05,6,1,19,12
191,Ishan Kishan,2021,10,241,26.77,84,133.88,1,2,21,10
192,Shivam Dube,2021,9,230,28.75,64*,119.17,1,1,18,10
193,Ravindra Jadeja,2021,16,227,75.66,62*,145.51,9,1,19,9
194,Dinesh Karthik,2021,17,223,22.3,40,131.17,5,0,22,7
195,David Warner,2021,8,195,24.37,57,107.73,0,2,15,6
196,Chris Gayle,2021,10,193,21.44,46,125.32,1,0,21,8
197,K.S Bharat,2021,8,191,38.2,78*,122.43,2,1,10,8
198,Andre Russell,2021,10,183,26.14,54,152.5,2,1,14,14
199,Shreyas Iyer,2021,8,175,35,47*,102.33,3,0,7,5
200,Deepak Hooda,2021,12,160,16,64,130.08,1,1,9,9
201,Suresh Raina,2021,12,160,17.77,54,125,2,1,13,9
202,Rahul Tewatia,2021,14,155,15.5,44,105.44,1,0,11,6
203,Shahrukh Khan,2021,11,153,21.85,47,134.21,3,0,9,10
204,Steve Smith,2021,8,152,25.33,39,112.59,1,0,13,2
205,Evin Lewis,2021,5,151,30.2,58,162.36,0,1,18,7
206,Jason Roy,2021,5,150,30,60,123.96,0,1,21,1
207,Aiden Markram,2021,6,146,29.2,42,122.68,1,0,12,4
208,Krunal Pandya,2021,13,143,14.3,39,116.26,2,0,10,6
209,Eoin Morgan,2021,17,133,11.08,47*,95.68,4,0,8,6
210,Wriddhiman Saha,2021,9,131,14.55,44,93.57,0,0,7,5
211,Hardik Pandya,2021,12,127,14.11,40*,113.39,2,0,11,5
212,David Miller,2021,9,124,24.8,62,109.73,3,1,11,3
213,Robin Uthappa,2021,4,115,28.75,63,136.9,0,1,8,5
214,Saurabh Tiwary,2021,5,115,57.5,50*,118.55,2,1,10,2
215,MS Dhoni,2021,16,114,16.28,18*,106.54,4,0,12,3
216,Abdul Samad,2021,11,111,12.33,28,127.58,1,0,4,8
217,Abhishek Sharma,2021,8,98,16.33,33,130.66,1,0,7,4
218,Mahipal Lomror,2021,4,94,31.33,43,128.76,1,0,3,6
219,Pat Cummins,2021,7,93,31,66*,166.07,2,1,5,8
220,Riyan Parag,2021,11,93,11.62,25,112.04,2,0,6,4
221,Marcus Stoinis,2021,10,89,22.25,27*,123.61,3,0,11,1
222,Jason Holder,2021,8,85,14.16,47*,118.05,1,0,2,6
223,Nicholas Pooran,2021,12,85,7.72,32,111.84,0,0,3,5
224,Rashid Khan,2021,14,83,10.37,22,120.28,2,0,9,2
225,Priyam Garg,2021,5,72,14.4,29,97.29,0,0,2,3
226,Rajat Patidar,2021,4,71,17.75,31,114.51,0,0,3,3
227,Lalit Yadav,2021,7,68,34,22*,93.15,3,0,7,0
228,Chris Morris,2021,11,67,13.4,36*,136.73,2,0,2,5
229,Kyle Jamieson,2021,9,65,16.25,16*,118.18,3,0,5,3
230,Harpreet Brar,2021,7,64,0,25*,110.34,5,0,3,2
231,Sunil Narine,2021,14,62,7.75,26,131.91,2,0,3,5
232,Shahbaz Ahmed,2021,11,59,8.42,14,111.32,0,0,4,2
233,Harshal Patel,2021,15,59,14.75,31,128.26,4,0,6,2
234,Vijay Shankar,2021,7,58,11.6,28,111.53,0,0,1,3
235,Sam Curran,2021,9,56,18.66,34,193.1,1,0,5,3
236,Kedar Jadhav,2021,6,55,13.75,19,105.76,1,0,2,2
237,Chris Lynn,2021,1,49,49,49,140,0,0,4,3
238,Shakib Al Hasan,2021,8,47,9.4,26,97.91,1,0,3,1
239,Dwayne Bravo,2021,11,47,47,23,261.11,2,0,3,4
240,Ravichandran Ashwin,2021,13,44,14.66,20*,104.76,2,0,2,1
241,Manan Vohra,2021,4,42,10.5,14,107.69,0,0,5,2
242,Liam Livingstone,2021,5,42,8.4,25,102.43,0,0,3,1
243,Jaydev Unadkat,2021,6,41,20.5,24,141.37,1,0,3,2
244,Axar Patel,2021,12,40,8,12,86.95,1,0,2,1
245,Mohammad Nabi,2021,3,34,11.33,17,170,0,0,3,2
246,Jayant Yadav,2021,5,34,17,23,130.76,1,0,2,1
247,Bhuvneshwar Kumar,2021,11,34,34,14*,113.33,6,0,3,0
248,Chris Jordan,2021,4,32,16,30,152.38,0,0,1,3
249,Moises Henriques,2021,5,31,15.5,14,96.87,2,0,0,1
250,Washington Sundar,2021,6,31,7.75,10,65.95,0,0,2,0
251,Dawid Malan,2021,1,26,26,26,100,0,0,1,1
252,Glenn Phillips,2021,3,26,13,14*,78.78,1,0,1,2
253,Ripal Patel,2021,2,25,25,18,92.59,1,0,3,0
254,Shivam Mavi,2021,9,25,12.5,20,125,0,0,2,2
255,Tom Curran,2021,3,21,21,21,123.52,1,0,2,0
256,Mohammed Siraj,2021,15,20,20,12*,76.92,3,0,1,1
257,Prabhsimran Singh,2021,2,19,9.5,12,82.6,0,0,1,1
258,Nathan Ellis,2021,3,18,18,12,112.5,1,0,0,1
259,Lockie Ferguson,2021,8,18,0,18*,163.63,3,0,1,1
260,Anmolpreet Singh,2021,1,16,16,16,114.28,0,0,2,1
261,Adam Milne,2021,4,16,8,15,94.11,1,0,0,1
262,Chetan Sakariya,2021,14,16,3.2,7,64,1,0,2,0
263,Jasprit Bumrah,2021,14,16,8,5*,94.11,5,0,2,0
264,Mandeep Singh,2021,1,15,15,15,107.14,0,0,2,0
265,Chris Woakes,2021,3,15,0,15*,136.36,1,0,2,0
266,Jhye Richardson,2021,3,15,7.5,15,62.5,0,0,2,0
267,Murugan Ashwin,2021,3,15,7.5,9,62.5,0,0,1,0
268,Virat Singh,2021,3,15,7.5,11,57.69,0,0,1,0
269,Jagadeesha Suchith,2021,2,14,0,14*,233.33,1,0,2,1
270,Dan Christian,2021,9,14,2.33,9,58.33,1,0,1,0
271,Rahul Chahar,2021,11,14,2.8,8,93.33,0,0,1,0
272,Mohammad Shami,2021,14,13,13,9*,76.47,3,0,0,0
273,Kagiso Rabada,2021,15,13,13,9*,216.66,2,0,2,0
274,Yuzvendra Chahal,2021,15,10,0,8*,37.03,2,0,0,0
275,Ajinkya Rahane,2021,2,8,8,8,100,0,0,1,0
276,Sandeep Sharma,2021,7,8,8,8*,114.28,1,0,1,0
277,Siddarth Kaul,2021,8,8,0,7*,100,2,0,1,0
278,Mustafizur Rahman,2021,14,8,0,8*,57.14,5,0,0,1
279,Sachin Baby,2021,1,7,7,7,41.17,0,0,0,0
280,Shreyas Gopal,2021,3,7,7,7*,140,1,0,0,1
281,Daniel Sams,2021,2,6,6,3*,100,1,0,0,0
282,Fabian Allen,2021,4,6,6,6,50,2,0,0,0
283,Avesh Khan,2021,16,5,0,5*,166.66,1,0,1,0
284,Shardul Thakur,2021,16,5,2.5,3*,100,2,0,0,0
285,Harbhajan Singh,2021,3,4,0,2*,100,2,0,0,0
286,Nathan Coulter-Nile,2021,5,4,2,3,80,0,0,0,0
287,Tim Southee,2021,3,3,3,3,60,0,0,0,0
288,Tabraiz Shamsi,2021,1,2,0,2*,50,1,0,0,0
289,Tim Seifert,2021,1,2,2,2,50,0,0,0,0
290,Navdeep Saini,2021,2,2,2,2,50,0,0,0,0
291,Kartik Tyagi,2021,4,2,2,1*,50,1,0,0,0
292,George Garton,2021,5,2,2,2*,50,2,0,0,0
293,Arshdeep Singh,2021,12,2,0,1*,66.66,2,0,0,0
294,Varun Chakaravarthy,2021,17,2,2,2*,50,2,0,0,0
295,Mujeeb Ur Rahman,2021,1,1,0,1*,100,1,0,0,0
296,Tim David,2021,1,1,1,1,33.33,0,0,0,0
297,Wanindu Hasaranga,2021,2,1,1,1*,50,1,0,0,0
298,Khaleel Ahmed,2021,7,1,1,1,50,0,0,0,0
299,Ravi Bishnoi,2021,9,1,1,1,25,0,0,0,0
300,Trent Boult,2021,14,1,0,1*,25,4,0,0,0
301,Deepak Chahar,2021,15,1,0,1*,100,2,0,0,0
302,Ben Stokes,2021,1,0,0,0*,0,0,0,0,0
303,Kamlesh Nagarkoti,2021,1,0,0,0*,0,0,0,0,0
304,Kuldip Yadav,2021,1,0,0,0*,0,1,0,0,0
305,Piyush Chawla,2021,1,0,0,0*,0,0,0,0,0
306,Shahbaz Nadeem,2021,1,0,0,0*,0,0,0,0,0
307,Anuj Rawat,2021,2,0,0,0*,0,0,0,0,0
308,Marco Jansen,2021,2,0,0,0*,0,0,0,0,0
309,Sarfaraz Khan,2021,2,0,0,0*,0,0,0,0,0
310,Jimmy Neesham,2021,3,0,0,0*,0,0,0,0,0
311,Prasidh Krishna,2021,10,0,0,0*,0,1,0,0,0
312,KL Rahul,2020,14,670,55.83,132*,129.34,2,5,58,23
313,Shikhar Dhawan,2020,17,618,44.14,106*,144.73,3,4,67,12
314,David Warner,2020,16,548,39.14,85*,134.64,2,4,52,14
315,Shreyas Iyer,2020,17,519,34.6,88*,123.27,2,3,40,16
316,Ishan Kishan,2020,14,516,57.33,99,145.76,4,4,36,30
317,Quinton de Kock,2020,16,503,35.92,78*,140.5,2,4,46,22
318,Suryakumar Yadav,2020,16,480,40,79*,145.01,3,4,61,11
319,Devdutt Padikkal,2020,15,473,31.53,74,124.8,0,5,51,8
320,Virat Kohli,2020,15,466,42.36,90*,121.35,4,3,23,11
321,AB de Villiers,2020,15,454,45.4,73*,158.74,4,5,33,23
322,Faf du Plessis,2020,13,449,40.81,87*,140.75,2,4,42,14
323,Shubman Gill,2020,14,440,33.84,70*,117.96,1,3,44,9
324,Manish Pandey,2020,16,425,32.69,83*,127.62,2,3,35,18
325,Mayank Agarwal,2020,11,424,38.54,106,156.45,0,2,44,15
326,Eoin Morgan,2020,14,418,41.8,68*,138.41,4,1,32,24
327,Sanju Samson,2020,14,375,28.84,85,158.89,1,3,21,26
328,Ambati Rayudu,2020,12,359,39.88,71,127.3,2,1,30,12
329,Nicholas Pooran,2020,14,353,35.3,77,169.71,4,2,23,25
330,Nitish Rana,2020,14,352,25.14,87,138.58,0,3,43,12
331,Marcus Stoinis,2020,17,352,25.14,65,148.52,3,3,31,16
332,Jonny Bairstow,2020,11,345,31.36,97,126.83,0,3,31,13
333,Rishabh Pant,2020,14,343,31.18,56,113.95,3,1,31,9
334,Rohit Sharma,2020,12,332,27.66,80,127.69,0,3,27,19
335,Jos Buttler,2020,13,328,32.8,70*,144.49,2,2,27,16
336,Kane Williamson,2020,12,317,45.28,67,133.75,4,3,26,10
337,Steve Smith,2020,14,311,25.91,69,131.22,2,3,32,9
338,Shane Watson,2020,11,299,29.9,83*,121.05,1,2,33,13
339,Chris Gayle,2020,7,288,41.14,99,137.14,0,3,15,23
340,Ben Stokes,2020,8,285,40.71,107*,142.5,1,1,36,7
341,Hardik Pandya,2020,14,281,35.12,60*,178.98,5,1,14,25
342,Aaron Finch,2020,12,268,22.33,52,111.2,0,1,28,8
343,Kieron Pollard,2020,16,268,53.6,60*,191.42,7,1,15,22
344,Rahul Tewatia,2020,14,255,42.5,53,139.34,5,1,13,17
345,Ravindra Jadeja,2020,14,232,46.4,50,171.85,6,1,22,11
346,Rahul Tripathi,2020,11,230,23,81,127.07,1,1,21,10
347,Prithvi Shaw,2020,13,228,17.53,66,136.52,0,2,27,8
348,Wriddhiman Saha,2020,4,214,71.33,87,139.86,1,2,24,5
349,Ruturaj Gaikwad,2020,6,204,51,72,120.71,2,3,16,6
350,MS Dhoni,2020,14,200,25,47*,116.27,4,0,16,7
351,Robin Uthappa,2020,12,196,16.33,41,119.51,0,0,19,7
352,Sam Curran,2020,14,186,23.25,52,131.91,3,1,12,12
353,Shimron Hetmyer,2020,12,185,23.12,45,148,3,0,11,12
354,Dinesh Karthik,2020,14,169,14.08,58,126.11,2,1,20,4
355,Pat Cummins,2020,14,146,20.85,53*,128.07,4,1,9,8
356,Priyam Garg,2020,14,133,14.77,51*,119.81,1,1,9,4
357,Mandeep Singh,2020,7,130,21.66,66*,119.26,1,1,10,4
358,Shivam Dube,2020,11,129,18.42,27*,122.85,2,0,5,9
359,Sunil Narine,2020,10,121,13.44,64,142.35,0,1,10,8
360,Andre Russell,2020,10,117,13,25,144.44,0,0,9,9
361,Axar Patel,2020,15,117,14.62,42,137.64,1,0,6,8
362,Ajinkya Rahane,2020,9,113,14.12,60,105.6,0,1,12,2
363,Jofra Archer,2020,14,113,18.83,27*,179.36,4,0,5,10
364,Abdul Samad,2020,12,111,22.2,33,170.76,3,0,8,6
365,Washington Sundar,2020,15,111,18.5,30,116.84,3,0,10,2
366,Krunal Pandya,2020,16,109,18.16,34,118.47,6,0,9,5
367,Glenn Maxwell,2020,13,108,15.42,32,101.88,4,0,9,0
368,Saurabh Tiwary,2020,7,103,20.6,42,128.75,0,0,8,3
369,Deepak Hooda,2020,7,101,101,62*,142.25,4,1,5,5
370,Vijay Shankar,2020,7,97,24.25,52*,101.04,1,1,10,1
371,Riyan Parag,2020,12,86,12.28,42*,111.68,1,0,6,3
372,Tom Curran,2020,5,83,83,54*,133.87,3,1,5,3
373,Josh Philippe,2020,5,78,19.5,33,101.29,1,0,9,1
374,Abhishek Sharma,2020,8,71,14.2,31,126.78,2,0,6,3
375,Gurkeerat Mann Singh,2020,8,71,0,21*,88.75,5,0,8,0
376,Jason Holder,2020,7,66,33,26*,124.52,2,0,5,3
377,Kedar Jadhav,2020,8,62,20.66,26,93.93,2,0,7,0
378,Mahipal Lomror,2020,3,59,19.66,47,109.25,0,0,2,3
379,Kagiso Rabada,2020,17,56,14,15*,114.28,4,0,4,2
380,Lockie Ferguson,2020,5,43,0,24*,148.27,2,0,4,1
381,Krishnappa Gowtham,2020,2,42,42,22*,155.55,1,0,3,2
382,Yashasvi Jaiswal,2020,3,40,13.33,34,90.9,0,0,2,2
383,Shreyas Gopal,2020,14,37,9.25,23*,94.87,1,0,3,0
384,Ravichandran Ashwin,2020,15,37,12.33,14*,108.82,3,0,3,1
385,Rashid Khan,2020,16,35,8.75,14,116.66,3,0,3,2
386,Chris Morris,2020,9,34,8.5,25*,161.9,1,0,2,3
387,Narayan Jagadeesan,2020,5,33,16.5,33,113.79,0,0,4,0
388,Sarfaraz Khan,2020,5,33,16.5,14*,113.79,1,0,5,0
